"BehaviorSpace results (NetLogo 6.1.1)"
"final-1.nlogo"
"experiment"
"06/06/2021 15:32:30:509 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","marketing-effort","coef_of_social_influence","network","product-quality","social-influence?","fraction-of-greener","number-of-consumers","[step]","ticks"
"175","0.6","0.5","preferential-attachment","0.5","true","0.26","1000","1249","1249"
"174","0.4","0.5","preferential-attachment","0.5","true","0.26","1000","1628","1628"
"169","0.2","0.3","preferential-attachment","0.5","true","0.26","1000","2718","2718"
"176","0.8","0.5","preferential-attachment","0.5","true","0.26","1000","1110","1110"
"173","0.2","0.5","preferential-attachment","0.5","true","0.26","1000","2476","2476"
"178","0.4","0.7","preferential-attachment","0.5","true","0.26","1000","1527","1527"
"179","0.6","0.7","preferential-attachment","0.5","true","0.26","1000","1225","1225"
"180","0.8","0.7","preferential-attachment","0.5","true","0.26","1000","1123","1123"
"177","0.2","0.7","preferential-attachment","0.5","true","0.26","1000","2233","2233"
"183","0.6","0.3","random","0.5","false","0.26","1000","1252","1252"
"184","0.8","0.3","random","0.5","false","0.26","1000","935","935"
"182","0.4","0.3","random","0.5","false","0.26","1000","1844","1844"
"187","0.6","0.5","random","0.5","false","0.26","1000","1281","1281"
"188","0.8","0.5","random","0.5","false","0.26","1000","931","931"
"186","0.4","0.5","random","0.5","false","0.26","1000","1828","1828"
"181","0.2","0.3","random","0.5","false","0.26","1000","3695","3695"
"185","0.2","0.5","random","0.5","false","0.26","1000","3420","3420"
"190","0.4","0.7","random","0.5","false","0.26","1000","1863","1863"
"192","0.8","0.7","random","0.5","false","0.26","1000","935","935"
"191","0.6","0.7","random","0.5","false","0.26","1000","1211","1211"
"194","0.4","0.3","small-world","0.5","false","0.26","1000","1932","1932"
"196","0.8","0.3","small-world","0.5","false","0.26","1000","936","936"
"195","0.6","0.3","small-world","0.5","false","0.26","1000","1242","1242"
"189","0.2","0.7","random","0.5","false","0.26","1000","3804","3804"
"198","0.4","0.5","small-world","0.5","false","0.26","1000","1782","1782"
"193","0.2","0.3","small-world","0.5","false","0.26","1000","3619","3619"
"199","0.6","0.5","small-world","0.5","false","0.26","1000","1271","1271"
"200","0.8","0.5","small-world","0.5","false","0.26","1000","942","942"
"204","0.8","0.7","small-world","0.5","false","0.26","1000","905","905"
"202","0.4","0.7","small-world","0.5","false","0.26","1000","1906","1906"
"197","0.2","0.5","small-world","0.5","false","0.26","1000","3617","3617"
"203","0.6","0.7","small-world","0.5","false","0.26","1000","1239","1239"
"206","0.4","0.3","preferential-attachment","0.5","false","0.26","1000","1781","1781"
"208","0.8","0.3","preferential-attachment","0.5","false","0.26","1000","914","914"
"207","0.6","0.3","preferential-attachment","0.5","false","0.26","1000","1246","1246"
"201","0.2","0.7","small-world","0.5","false","0.26","1000","3968","3968"
"210","0.4","0.5","preferential-attachment","0.5","false","0.26","1000","1883","1883"
"211","0.6","0.5","preferential-attachment","0.5","false","0.26","1000","1205","1205"
"212","0.8","0.5","preferential-attachment","0.5","false","0.26","1000","935","935"
"205","0.2","0.3","preferential-attachment","0.5","false","0.26","1000","3922","3922"
"214","0.4","0.7","preferential-attachment","0.5","false","0.26","1000","1873","1873"
"215","0.6","0.7","preferential-attachment","0.5","false","0.26","1000","1250","1250"
"216","0.8","0.7","preferential-attachment","0.5","false","0.26","1000","924","924"
"209","0.2","0.5","preferential-attachment","0.5","false","0.26","1000","3716","3716"
"213","0.2","0.7","preferential-attachment","0.5","false","0.26","1000","3715","3715"
"218","0.4","0.3","random","0.5","true","0.26","1000","1697","1697"
"220","0.8","0.3","random","0.5","true","0.26","1000","1149","1149"
"219","0.6","0.3","random","0.5","true","0.26","1000","1301","1301"
"217","0.2","0.3","random","0.5","true","0.26","1000","2582","2582"
"222","0.4","0.5","random","0.5","true","0.26","1000","1621","1621"
"223","0.6","0.5","random","0.5","true","0.26","1000","1248","1248"
"221","0.2","0.5","random","0.5","true","0.26","1000","2426","2426"
"224","0.8","0.5","random","0.5","true","0.26","1000","1123","1123"
"226","0.4","0.7","random","0.5","true","0.26","1000","1534","1534"
"227","0.6","0.7","random","0.5","true","0.26","1000","1261","1261"
"228","0.8","0.7","random","0.5","true","0.26","1000","1134","1134"
"225","0.2","0.7","random","0.5","true","0.26","1000","2077","2077"
"231","0.6","0.3","small-world","0.5","true","0.26","1000","1328","1328"
"230","0.4","0.3","small-world","0.5","true","0.26","1000","1658","1658"
"232","0.8","0.3","small-world","0.5","true","0.26","1000","1126","1126"
"157","0.2","0.3","small-world","0.5","true","0.26","1000","2636","2636"
"229","0.2","0.3","small-world","0.5","true","0.26","1000","2742","2742"
"235","0.6","0.5","small-world","0.5","true","0.26","1000","1251","1251"
"234","0.4","0.5","small-world","0.5","true","0.26","1000","1605","1605"
"236","0.8","0.5","small-world","0.5","true","0.26","1000","1106","1106"
"233","0.2","0.5","small-world","0.5","true","0.26","1000","2575","2575"
"238","0.4","0.7","small-world","0.5","true","0.26","1000","1456","1456"
"237","0.2","0.7","small-world","0.5","true","0.26","1000","2123","2123"
"240","0.8","0.7","small-world","0.5","true","0.26","1000","1106","1106"
"243","0.6","0.3","preferential-attachment","0.5","true","0.26","1000","1318","1318"
"242","0.4","0.3","preferential-attachment","0.5","true","0.26","1000","1683","1683"
"244","0.8","0.3","preferential-attachment","0.5","true","0.26","1000","1127","1127"
"247","0.6","0.5","preferential-attachment","0.5","true","0.26","1000","1278","1278"
"241","0.2","0.3","preferential-attachment","0.5","true","0.26","1000","2503","2503"
"246","0.4","0.5","preferential-attachment","0.5","true","0.26","1000","1564","1564"
"248","0.8","0.5","preferential-attachment","0.5","true","0.26","1000","1114","1114"
"245","0.2","0.5","preferential-attachment","0.5","true","0.26","1000","2617","2617"
"250","0.4","0.7","preferential-attachment","0.5","true","0.26","1000","1476","1476"
"252","0.8","0.7","preferential-attachment","0.5","true","0.26","1000","1100","1100"
"251","0.6","0.7","preferential-attachment","0.5","true","0.26","1000","1261","1261"
"249","0.2","0.7","preferential-attachment","0.5","true","0.26","1000","2349","2349"
"254","0.4","0.3","random","0.5","false","0.26","1000","1850","1850"
"256","0.8","0.3","random","0.5","false","0.26","1000","908","908"
"255","0.6","0.3","random","0.5","false","0.26","1000","1245","1245"
"260","0.8","0.5","random","0.5","false","0.26","1000","930","930"
"259","0.6","0.5","random","0.5","false","0.26","1000","1268","1268"
"258","0.4","0.5","random","0.5","false","0.26","1000","1888","1888"
"253","0.2","0.3","random","0.5","false","0.26","1000","3943","3943"
"262","0.4","0.7","random","0.5","false","0.26","1000","1976","1976"
"257","0.2","0.5","random","0.5","false","0.26","1000","3821","3821"
"264","0.8","0.7","random","0.5","false","0.26","1000","913","913"
"263","0.6","0.7","random","0.5","false","0.26","1000","1224","1224"
"266","0.4","0.3","small-world","0.5","false","0.26","1000","1775","1775"
"267","0.6","0.3","small-world","0.5","false","0.26","1000","1252","1252"
"268","0.8","0.3","small-world","0.5","false","0.26","1000","916","916"
"261","0.2","0.7","random","0.5","false","0.26","1000","3746","3746"
"239","0.6","0.7","small-world","0.5","true","0.26","1000","1241","1241"
"271","0.6","0.5","small-world","0.5","false","0.26","1000","1249","1249"
"265","0.2","0.3","small-world","0.5","false","0.26","1000","3719","3719"
"272","0.8","0.5","small-world","0.5","false","0.26","1000","930","930"
"270","0.4","0.5","small-world","0.5","false","0.26","1000","1792","1792"
"276","0.8","0.7","small-world","0.5","false","0.26","1000","931","931"
"274","0.4","0.7","small-world","0.5","false","0.26","1000","1910","1910"
"269","0.2","0.5","small-world","0.5","false","0.26","1000","3609","3609"
"279","0.6","0.3","preferential-attachment","0.5","false","0.26","1000","1239","1239"
"278","0.4","0.3","preferential-attachment","0.5","false","0.26","1000","1769","1769"
"280","0.8","0.3","preferential-attachment","0.5","false","0.26","1000","925","925"
"273","0.2","0.7","small-world","0.5","false","0.26","1000","3806","3806"
"283","0.6","0.5","preferential-attachment","0.5","false","0.26","1000","1232","1232"
"284","0.8","0.5","preferential-attachment","0.5","false","0.26","1000","917","917"
"282","0.4","0.5","preferential-attachment","0.5","false","0.26","1000","1891","1891"
"277","0.2","0.3","preferential-attachment","0.5","false","0.26","1000","3751","3751"
"288","0.8","0.7","preferential-attachment","0.5","false","0.26","1000","911","911"
"275","0.6","0.7","small-world","0.5","false","0.26","1000","1232","1232"
"287","0.6","0.7","preferential-attachment","0.5","false","0.26","1000","1211","1211"
"286","0.4","0.7","preferential-attachment","0.5","false","0.26","1000","1799","1799"
"281","0.2","0.5","preferential-attachment","0.5","false","0.26","1000","3616","3616"
"285","0.2","0.7","preferential-attachment","0.5","false","0.26","1000","3780","3780"
